ident,commune,type,comptage_5m,indice_congestion_matin,indice_congestion_soir,compteur_latitude,compteur_longitude,stop_id,stop_name,distance_arret_m,lignes_tbm
Z16CT2,Pessac,BOUCLE,29,0.080330,0.086081,44.8101544,-0.6213496,2789,Avenue Jean Jaurès,212.8,4
Z16CT2,Pessac,BOUCLE,29,0.080330,0.086081,44.8101544,-0.6213496,2031,Les Echoppes,67.2,4
Z16CT2,Pessac,BOUCLE,29,0.080330,0.086081,44.8101544,-0.6213496,2790,Les Echoppes,89.3,4
Z16CT6,Pessac,BOUCLE,22,,,44.8059414,-0.6321666,3252,Nancel Pénard,287.7,24;30;35;74;77;78
Z16CT6,Pessac,BOUCLE,22,,,44.8059414,-0.6321666,2763,Pessac Centre,29.8,35;4;77;87
Z16CT6,Pessac,BOUCLE,22,,,44.8059414,-0.6321666,2788,Pessac Centre,122.4,35;4
Z16CT6,Pessac,BOUCLE,22,,,44.8059414,-0.6321666,5247,Pessac Centre,185.8,B
Z16CT6,Pessac,BOUCLE,22,,,44.8059414,-0.6321666,5293,Pessac Centre (Tram B),178.2,24;55
Z16CT6,Pessac,BOUCLE,22,,,44.8059414,-0.6321666,5294,Pessac Centre (Tram B),136.5,30;78;87
Z16CT6,Pessac,BOUCLE,22,,,44.8059414,-0.6321666,5297,Pessac Centre (Tram B),157.3,77
Z16CT6,Pessac,BOUCLE,22,,,44.8059414,-0.6321666,5285,Pessac Centre (Trendel),100.7,24;30;35;55;74;77;78
Z16CT6,Pessac,BOUCLE,22,,,44.8059414,-0.6321666,5286,Pessac Centre (Trendel),56.3,74;78
Z16CT6,Pessac,BOUCLE,22,,,44.8059414,-0.6321666,425,Rosa Bonheur,220.4,24;30
Z16CT10,Pessac,BOUCLE,18,0.080406,0.091770,44.8085464,-0.6314101,1150,Le Poujeau,193.9,24
Z16CT10,Pessac,BOUCLE,18,0.080406,0.091770,44.8085464,-0.6314101,353,Le Poujeau,199.0,24
Z16CT10,Pessac,BOUCLE,18,0.080406,0.091770,44.8085464,-0.6314101,1064,Nancel Pénard,215.1,30
Z16CT10,Pessac,BOUCLE,18,0.080406,0.091770,44.8085464,-0.6314101,1569,Nancel Pénard,180.9,35;74;77;78
Z16CT10,Pessac,BOUCLE,18,0.080406,0.091770,44.8085464,-0.6314101,3252,Nancel Pénard,96.2,24;30;35;74;77;78
Z16CT10,Pessac,BOUCLE,18,0.080406,0.091770,44.8085464,-0.6314101,2763,Pessac Centre,281.7,35;4;77;87
Z16CT10,Pessac,BOUCLE,18,0.080406,0.091770,44.8085464,-0.6314101,2788,Pessac Centre,268.4,35;4
Z16CT10,Pessac,BOUCLE,18,0.080406,0.091770,44.8085464,-0.6314101,425,Rosa Bonheur,239.5,24;30
Z10CT2,Bordeaux,BOUCLE,60,0.064931,0.071694,44.8273029,-0.5923272,1757,Barrière de Pessac (Boulevards),232.9,20;9;H1;N4
Z10CT2,Bordeaux,BOUCLE,60,0.064931,0.071694,44.8273029,-0.5923272,9820,Barrière de Pessac (Boulevards),254.8,9;H2
Z10CT2,Bordeaux,BOUCLE,60,0.064931,0.071694,44.8273029,-0.5923272,1771,Xaintrailles,50.0,24
Z10CT2,Bordeaux,BOUCLE,60,0.064931,0.071694,44.8273029,-0.5923272,1804,Xaintrailles,61.3,20;9;H2
Z10CT2,Bordeaux,BOUCLE,60,0.064931,0.071694,44.8273029,-0.5923272,620,Xaintrailles,113.1,24
Z10CT2,Bordeaux,BOUCLE,60,0.064931,0.071694,44.8273029,-0.5923272,647,Xaintrailles,143.4,20;80;9;H1
Z10CT2,Bordeaux,BOUCLE,60,0.064931,0.071694,44.8273029,-0.5923272,9828,Xaintrailles,73.8,80
Z10CT12,Bordeaux,BOUCLE,29,0.082998,0.061897,44.8271287,-0.5949668,13223,Campeyraut,175.3,20
Z10CT12,Bordeaux,BOUCLE,29,0.082998,0.061897,44.8271287,-0.5949668,137,Campeyraut,171.1,24;80
Z10CT12,Bordeaux,BOUCLE,29,0.082998,0.061897,44.8271287,-0.5949668,2753,Campeyraut,200.8,24;80;N4
Z10CT12,Bordeaux,BOUCLE,29,0.082998,0.061897,44.8271287,-0.5949668,1771,Xaintrailles,251.8,24
Z10CT12,Bordeaux,BOUCLE,29,0.082998,0.061897,44.8271287,-0.5949668,1804,Xaintrailles,169.1,20;9;H2
Z10CT12,Bordeaux,BOUCLE,29,0.082998,0.061897,44.8271287,-0.5949668,620,Xaintrailles,230.8,24
Z10CT12,Bordeaux,BOUCLE,29,0.082998,0.061897,44.8271287,-0.5949668,647,Xaintrailles,164.9,20;80;9;H1
Z10CT12,Bordeaux,BOUCLE,29,0.082998,0.061897,44.8271287,-0.5949668,9828,Xaintrailles,137.5,80
Z10CT4,Bordeaux,BOUCLE,51,,,44.8256255,-0.5896287,2740,Barrière de Pessac,103.2,20;4
Z10CT4,Bordeaux,BOUCLE,51,,,44.8256255,-0.5896287,2752,Barrière de Pessac,89.5,20;4
Z10CT4,Bordeaux,BOUCLE,51,,,44.8256255,-0.5896287,1757,Barrière de Pessac (Boulevards),50.1,20;9;H1;N4
Z10CT4,Bordeaux,BOUCLE,51,,,44.8256255,-0.5896287,9820,Barrière de Pessac (Boulevards),30.3,9;H2
Z10CT4,Bordeaux,BOUCLE,51,,,44.8256255,-0.5896287,3310,Boulevard George V,258.7,9;H1;N4
Z10CT4,Bordeaux,BOUCLE,51,,,44.8256255,-0.5896287,1266,Jeanne d'Arc,296.9,4
Z10CT4,Bordeaux,BOUCLE,51,,,44.8256255,-0.5896287,2830,Jeanne d'Arc,270.5,4
Z10CT4,Bordeaux,BOUCLE,51,,,44.8256255,-0.5896287,1771,Xaintrailles,279.7,24
Z10CT3,Talence,BOUCLE,69,0.067176,0.063632,44.8241803,-0.5873978,2740,Barrière de Pessac,201.4,20;4
Z10CT3,Talence,BOUCLE,69,0.067176,0.063632,44.8241803,-0.5873978,2752,Barrière de Pessac,201.4,20;4
Z10CT3,Talence,BOUCLE,69,0.067176,0.063632,44.8241803,-0.5873978,1757,Barrière de Pessac (Boulevards),288.4,20;9;H1;N4
Z10CT3,Talence,BOUCLE,69,0.067176,0.063632,44.8241803,-0.5873978,9820,Barrière de Pessac (Boulevards),266.7,9;H2
Z10CT3,Talence,BOUCLE,69,0.067176,0.063632,44.8241803,-0.5873978,2344,Boulevard George V,73.4,9;H2
Z10CT3,Talence,BOUCLE,69,0.067176,0.063632,44.8241803,-0.5873978,3310,Boulevard George V,20.6,9;H1;N4
Z10CT16,Bordeaux,BOUCLE,31,,,44.8218025,-0.5941816,1077,14 Juillet,112.0,4
Z10CT16,Bordeaux,BOUCLE,31,,,44.8218025,-0.5941816,775,14 Juillet,100.7,4
Z10CT16,Bordeaux,BOUCLE,31,,,44.8218025,-0.5941816,1252,Edison,229.1,4
Z10CT16,Bordeaux,BOUCLE,31,,,44.8218025,-0.5941816,1390,Edison,87.1,4
Z10CT16,Bordeaux,BOUCLE,31,,,44.8218025,-0.5941816,1266,Jeanne d'Arc,261.6,4
Z10CT16,Bordeaux,BOUCLE,31,,,44.8218025,-0.5941816,2830,Jeanne d'Arc,286.3,4
Z10CT9,Talence,BOUCLE,,0.087778,0.085768,44.8192005,-0.5986224,1252,Edison,227.7,4
Z10CT9,Talence,BOUCLE,,0.087778,0.085768,44.8192005,-0.5986224,2434,La Médoquine,37.7,4
Z10CT9,Talence,BOUCLE,,0.087778,0.085768,44.8192005,-0.5986224,2847,La Médoquine,21.7,4
Z10CT9,Talence,BOUCLE,,0.087778,0.085768,44.8192005,-0.5986224,13159,Réservoir Lavardens,294.6,73;8;80
Z10CT9,Talence,BOUCLE,,0.087778,0.085768,44.8192005,-0.5986224,13184,Réservoir Lavardens,280.8,73;8;80
Z10CT9,Talence,BOUCLE,,0.087778,0.085768,44.8192005,-0.5986224,187,Réservoir Lavardens,263.0,4
